text,polarity
من ? سنين اتفرجت ع مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه يا جماعه ,Negative
@CBCeXtra افلح أن صدق والمقصود..(قطر( ,Negative
قاعدة الصحاب في نص الاسبوع بتقرب اكتر من قاعدة اخر الأسبوع ,Neutre
\@seksek: هذه الدنيا كتاب انت فيه الفكر، من القائل\ الست ,Neutre
دلوقتي جاي بتلعب على الي خبزك وعجنك ! ,Negative
@hanaa35 الخوف بألف نصل ---- كل نصل ينغرس فى حلم قادم ---- فتسود حالة نزف لكل الأحلام ---- ويسود البحث عن ذرة أمان \ وآمنهم من خوف \ ,Negative
الستاذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادمى ?  #MohammadChahine ,Neutre
انت اخر واحد ف الدنيا ممكن شيرين تبكى عليه .. انت فاهم ! ,Negative
@aaaahmad21  طبعا اهم من الكتابه والاحساس الاملاء الشيء لزوم الشيء  ..^^ ,Neutre
@sohamorsy مساك أروع ,Positive
@sSoOma17 فى حد بعت هداي لشيرو ,Neutre
كنترووووووووول نادوا دعاء بقى #StaracArabia #DoaaElSebaii ,Neutre
كنت بائس من حياتى وحزين الساعه12 لكن دلوقتى متفأل ومبسوط فشخ  سبحان مغير ا?حوال ,Positive
اوعي تستسهل ماده ,Neutre
ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني .. دا انا كنت في حبك من الاول ابليس متعشم في الجنه ,Negative
انا من كتر الانشغال حاسس ان في وقت اجازتي كائن غريب في بيتي بتعرف علي الاسرة من اول وجديد ,Negative
اه علي الجامعة و امتحانات الجامعة ,Negative
@Dinaelhendwy فعلا صح عندك حق الله يرحمك يا امى ,Positive
تيجى عليه يابن الاحبى بورده   ....يسلم على كس امك ,Negative
@NightStars777 ربنا معاك ان شاء الله ,Positive
سهام الليل صائبة المرامي اذا وترت باوتار الخشوع يسددها الى المرمى رجال يطيلون السجود مع الركوع ,Neutre
قاطعهم وقل لهم: تباً لكم ! ,Negative
راح -_- ,Negative
حين نكون مفرغين ولا نحوي إلا الخواء ، حينها سوف نكون أقل شعوراً بالألم. ,Negative
@iMiruuzz انتي المفروض ثانوي صح؟ ,Neutre
انا من يوم السبت هبدا مذاكرة ? ,Neutre
@heshamelDali تفكيرك في محله? ,Positive
صباح جديد على اهلي فى تويتر ,Positive
طبعا انتي سقعانين وانا كمان  بس انا عرقان والسخونيه ديه بنت جزمه ,Negative
@AbyHegazy وانت من اهل ميتين امه ياحما ,Negative
كنت زمان بستنى سؤالك عني دلوقتي مبقاش يفرق. ,Negative
بس سيبك انت ... انا مبسوط باللى حصل انهارده و امبارح ... \ محدش قالى عقبالك \ :D =))) ,Positive
#الوطن   عبدالمنعم إبراهيم.. \فتافيت سكر\ السينما المصرية http://t.co/B3apRKiogz ,Neutre
فرقوا بين الناس اللي بتحبكو و فارقين معاهم و بين اللي انتو بنسبه لهم ولا حاجة ,Neutre
@MohabE_ لأ، عرص ,Negative
المشكلة ان انا لسه جعانة بجد :D ,Neutre
@Alshaikh2 شاعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن رد ,Neutre
و يا رب عدلها. ,Positive
انا كل ما اعرف حد ابن ناس يطلع يا كان صايع وربنا هداه يأما ابن ناس وحد على افاه فا هيبقى صايع  طب ليه كده طا ,Negative
@lmooos_7 @Tomi987123 @safi2332 يلا تصبحوا ع خير?? ,Positive
@samezabi @rim0o01 اصلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوة فانزه الغتت ,Negative
نحن على بعد خطوات بسيطة من تحقيق حلم شاهين كلها يومين والحلم يتحقق  تخيلوا الفرحه على وشوشهم يوم اعلان النتيجه بفوز شاهين  #MohammadChahine ,Positive
مبحبش ابين اني مضايقة والله بس بيبان عليا و بقلب وشي من غير قصد ,Negative
@dodokemo98 @nona24_nona حسبي الله ونعم الوكيل :( ,Negative
احنا الزمالك احنا ولا نسيتوا :P ,Positive
@kamilia27644962 @cerinelle @mscallstephany @Negativeoombookra @BRNSESREM  ربنا يهديكي ,Negative
وقلبي نبضه صوت نبضك.. ,Positive
ياسمين حمدان - لا مش أنا اللي ابكي ,Neutre
فيه شخصيات فى حياتى موجودة بس عشان تحرقلى دمى. ,Negative
@FOmar050280 @9633656hhh استغفر الله العظيم ,Negative
تحلو مراره عيشي في رضااالك ............. ,Positive
اهون عليكي تهونى عليا  يالا ف داهيه :) #كرهتك ,Negative
@Mawada_Hashim - هتنجحي خلاص نامي و ضميرك مرتاح ,Positive
ورأيا امتحان ابن جزمة كمان خمس ساعات و مش ناقصة ,Negative
@ZohooZohor @AaAaasads الحمد لله ,Positive
#عن كام مره حبيت صدفة ، و كام مره لعنتها . ,Negative
\@reeem12345s: كَثيرهہ هَيّ آمآنينآ فَ يآربَ حققّ         مآ ترآهُ خيراً لنآ..ويسعدنا?~ ” http://t.co/3mF5fbSLaG\ ,Positive
ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكرة احنا فاضين دلوقتي ع التصويت بليزز #LaithAbuJoda ليث أبو جودة ,Positive
ان شاء الله نصبح علي خير :) ,Positive
@shababic اعلام ابن ميتشين كلب :) ,Negative
اللهم طهر قلبي من كل ضيق، ويسر لي أمري في كل طريق ,Positive
\بوح  ياحادي العيس وينك غايبٍ  مده اليوم لاعيس لاصحرا  ولا حادي  ماغير ذكرى تهز القلب ??وتهده واقول عادي وهو والله مهو عادي  ? ? #ذلك_الرجل\ ,Negative
انت اول حب واخر حب هعيش وياه... واللى بينى وبينك احساس اكبر من معناه ,Positive
@meroobas اه التييييييت بس احنا سرقنا صور كتييييير  هطلع عليهم النكد كله ,Negative
الفكره اللي ماخذينها عني؟ رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالحركات ,Negative
انا فضلت متمسمره :  للدرجة دى انا مبحسش اسأله طلعت فى راسي وطفيت الاغانى وبعدين قولت طب وانا هعمل ايه وشغلت الاغانى تانى :\ ,Negative
الشـتـا  مبيسيبـش حد سعيـد .. ,Negative
آنا كدا خلاص آخري جاب آخره مني . ,Negative
@DrBassemYoussef باسم يوسف انت خول وامك عارفه ,Negative
بس انا لو غبيه كنت هرتاح المشكله اني بتغابي  و لو بنسي هرتاح برضو المشكله اني بتناسي و مش بعرف اسامح كمان و مفرمله نفسي اني انتقم ,Negative
@memoo_f151 تسلمواااااااااا ,Positive
@balawi2 وانا من الناس يارب واشتقت الى بيتك الذي وضعته لنا .. فاللهم ارزقنا زيارته ,Positive
@DesoukyAya @meroobas همسكهم الاتنين و اخبطهم في حيطة و نبدأ على نضيف ,Negative
انا المفروض اروح الكليه بكره، اللي هو النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعتهاش :\D ,Negative
اللي ميخافش من ربنا .. خاف منه ,Neutre
@yosraabdelwaha2 انتي منين اصلا وعايشه فين ,Neutre
صلاه الفجر ,Neutre
@omarhamdino هل المشكله بتواجهك فى مكان محدد ولا اى مكان ؟ وبالنسبه لخدمة ال3G ايه علامة التغطيه الخاصه بالانترنت اللى بتظهر لك ؟ Zahran ,Neutre
@Ahlam_Alshamsi اللهم تقبل منا ومنكم صالح الأعمال ,Positive
ممكن حد يكرهك بمجرد انك محبوب لناس كتير ,Negative
@wahetaleslam كل سنه وانتى طيبه  يامديره واحه الاسلام وربنا ىزيدك نور ورفعه انتى والمنتدى بتاعك اتمنى لكم كل الخيرات واارفعه على الدوام ,Positive
اللهم بشرنا بشارة خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقاً لم نسألك اياه ولم يخطر ببالنا وجنباً شراً انت اعلم به منا ياحي ياقيوم ,Positive
@Abas68Said ياصباح الفل.. ,Positive
@meriem_Hd4  حد قالك انك واحدة وسخة بلوووك ,Negative
@Maroc_tiskat22 اة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش فينا ,Negative
\@3asheg1972: وكنتُ أزعم مثل الناس إذ زعموا .. بأن من غاب عني غاب عن بالي واليوم كذّبني قلبي وكذّبتهم .. فارقتهم..وأقاموا بين أوصالي\ ,Negative
@rowaf @Bahraini_ADV وان يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثواب ,Positive
كنت بحب المذيعة دينا عصمت لما كانت على قناة النيل للأخبار و أون تي في. للأسف مستواها نزل على سي بي سي إكسترا. كانت قارئة نشرة ممتازة. ,Negative
انا خلاص قررت مش هذاكر حاجه غير ليلة الامتحان عشان كل مااذاكر حاجه انساها تاني ... كفايه تضييع وقت ف المذاكره بقي :/ ,Negative
كنت واقفة في البلكونة بدري كدة فلقيت عامل النظافة منضف الشارع يادوب طلع لأول الشارع ورجع تاني قام منضف تاني ولا هو #الاستهتار_اسلوب_حياه ,Negative
عيونها يتالف فيها اشعار ,Positive
سبحان الله وبحمده . http://t.co/bqDZM9LMUd ,Neutre
أرموهم في أعماق البحار حتي تشتت الأمواج أشلائهم .. ,Negative
وأتارى المحاسبة غداره غداره . ,Negative
#عن الناس اللي عايشة عشان توجعك و بس ,Negative
وضوءك لصلاة الليل وصلاة الفجر ، مع شعورك بالبرد  هذه القشعريره كفيلة بنسف جبال الخطايا التي قد تحملها ? ,Positive
@3nTbly صباح الورد يا عنتبلي بيه ! ,Positive
حد هنا شغال في بنك QNB ,Neutre
@Msraweya اه و الله تعبنا فشخ ,Negative
يحيى لس مكلمنى مصتقدش إنه لسه حى ممتش ,Positive
وجهة نظر برده ,Neutre
&gt;.&lt;أصبح الوضع ? يطاق ,Negative
\@AymanNour: http://t.co/wF7BlZD1XD في أول تصريح له السبسي يطلب تفويضا من الشعب لمواجهة إرهاب محتمل!! (واضح أن الكتلوج واحد)\ ,Negative
#كيف_ننصر_ديننا 1-السير في طريق العلم 2-الدعوة إلى الله بما معك من العلم 3-إن لم تستطع فكن محباً للعلم وأهله @Betaqadaawia ,Neutre
مشكله اااي #بت انها عايزه الواد #يهتم بيها ال24 ساعه حتي وهو #نايم #الرحمه_حلوه ,Negative
@nadamuhamed16 يا ريت كلهم زيك يا بنتي والله ,Positive
صباحووو ^_^ ,Positive
#القرضاوي مهاجما #قطر: لا يحتفلون بالمولد النبوي ويحتفلون بـ\الكريسماس\  ماانت عايش في قطر من السينات لسه واخد بالك دلوقتي ,Negative
#الوطن  بالفيديو  #القرضاوي يهاجم #قطر: لا يحتفلون بالمولد النبوي ويعتبرونه بدعة  http://t.co/C7UK8dwc1V ,Neutre
طريقك مسدود مسدود يا ولدى  *بصوت سعيد صالح* ,Negative
@EgyptianPolice0 طيب ياشرطة يامصرية في كتير اخوان في المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات ,Negative
ده انا كنت ناسي والله ورجعني الحنين .... وتحت شباكك بيرميني الحنين :/ ,Negative
@AymanNour انقلاب اية ربنا يقلب مصرانكم ان شاء الله ,Negative
احا .. يعنى صاحى على بليز كول مى وقولنا ماشى انما ملاقيش علبه السجاير .. احا بجد دا انا شارب منها سجارة واحده بس ,Negative
السنة ملهاش دعوة بنجاحك وفشلك والحقيقة انك فاشل عشان انت خول وعلق مش عشان انت سئ الحظ او قوانين الطبيعة والزمن بيتامروا عليك صانع الساعات ,Negative
قال رسول الله ? \لاتقولواللمنافق:سيدنا،فإنه إن يك سيدكم فقدأسخطتم ربكم-عزوجل-\. [الصحيحة:371] ,Neutre
يَا رب  أمنحني قلب مبتسمَ يُسعد ?ن حولي وَ آغمرھہ بَ آلقوّھہ وَ آ?صبر  حتى لآ ?ضعف آمآم شيء  [ سوآك ].. صباح الخيرات http://t.co/NwSmaSaI1r ,Positive
Mama said:\هتيجبي ملاحق يا هيدي \ ,Negative
@ameeallam الثانوية دى بتنمى الغباء ,Negative
لا تطلب من الله مالا تستطيع تأدية شكره أو تحمل عبئه .والا. فلما ءاتاهم من فضله بخلوا به...... فأعقبهم نفاقا في قلوبهم إلى يوم يلقونه ,Neutre
مش ينفع تكون متعاطف او مؤمن بفكرا او رآي او شخص او حزب او كيان.. الخ وتقارنه بشبيه  ولكن متناقض مع الشئ دا.. لن تكون منصف بالمرا :-) ,Negative
وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَى ??? أَلَمْ يَجِدْكَ يَتِيمًا فَآوَى ??? وَوَجَدَكَ ضَالًّا فَهَدَى ???وَوَجَدَكَ عَائِلًا فَأَغْنَى ,Positive
#المصدر  #الروبل_الروسي يتراجع 0.7 \% أمام الدولار  للمزيد :http://t.co/eQntVOB4uc http://t.co/RDHwJ6kxdO ,Neutre
#المصدر  \#برنت \يتراجع باتجاه 61 دولارا للبرميل في التعاملات الاسيوية  للتفاصيل :http://t.co/HspdXCeuhw ,Neutre
@LonaloloLona ? ?مساااااااء_الخيراااااات?? ,Positive
قم بتجهيز ملعب #نجيل_صناعي كامل متكامل مع #بيبا_سبورت بأقل سعر وضمان 8 سنوات http://t.co/zvM0NiRvqx 01027399960 - 01027399962 ,Neutre
فؤاد المهندس و شويكار ! ,Positive
موديول منحس من اوله ,Negative
\@JassmineHady: لك الحمد ربي عدد خلايا أجسادنا المتعافيه وعدد أيامنا التي لا نشكوا فيها وعدد نعمك التي لا نحصيها  #الحمدلله\ ,Positive
حفظ الله مصر http://t.co/mz6YSoxpRn ,Positive
شكراً لأنك في حياتي ، شكراً لأنك حياتي  صباح الحب ? ,Positive
الملل بالنسبالى اشبه بالموت ,Negative
وتعيش يا جيش بلادى http://t.co/U1BVnYvvVO ,Positive
علبه كشرى وسط ب 6 جنيه !!!! يعنى لو اربع افراد ب 24 جنيه !!! بلد مفيش متها امل .. ,Negative
اصاله دى حاله جميله ,Positive
@Q55665 اريد عمل اناسائق ,Neutre
سأبتسم في وجه من يكرهني فان لم أكسب محبته سأنجح في فقع مرارته  #تمثلنى وبشده ,Neutre
@lolo00o3 @yazn200077 هما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاجه #DoaaElSebaii #StaracArabia ,Neutre
@StaracArabia @Mohammad_Cha 222222222222222222222222222222222222 اللقب لا يليق الا بك يا شاهينووووووووو ,Positive
@MawlaNa92 يسطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياسطا ,Negative
@sarahesham3 والله كدابين ما انا ميزان اهو ,Negative
@sso2166 السلام عليكم ورحمة الله وبركاته اه? وسه? شرفت بمتابعتك ,Positive
أحا أحوه كس أم حسام وأخوه ,Negative
الاهلى ? ,Positive
#الوطن  غادة عبدالرازق تنشر صورتها بـ\اتحاد الطلبة\ وناشط: مربية أجيال وأجيال  http://t.co/CyGfw7KbXU http://t.co/t1jsF4uF6L ,Neutre
الحمد لله على نعمه المناخير الصغيره ,Positive
@saraaser2 حساب شيرين يحيى http://t.co/POngJqePzD  http://t.co/7zs1QR5eyi  http://t.co/p696ECH0wx … … #ShereenYehia #StaracArabia ,Neutre
الدكاترة desgin نفسى افهم انا شغال معاك من اول الترم و طالع عين اهلى تيجى بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز ! #قسم_ دراما ,Negative
@na7lat ربنا يخليهولك ويسعدكوا ,Positive
@nassersaly @nohasamah1 الله واكبر على رنوووشتنا ربنا يكتر من لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربة فى الوطن ,Positive
أنا نفسي مرة أجرب أكون ليك حد أقرب :\) ,Negative
انت موجود في خيالي اكتر مانت موجود في الواقع ,Negative
@YasminMahfouz انها حبوب منع الفهم ,Negative
والله كنت ناوي اذاكر بس واضح ان مفيش نصيب. ,Negative
هلا http://t.co/VJUTCLUkXY ,Positive
@ranasamaha9t كل سنه وليبيا بخير ,Positive
مش كفاية اسمك عجيب و كمان عامل الشكل دا #ايساف &lt;&lt;&lt; #اسفاف http://t.co/LIJdwhj0PK ,Negative
محاسب يحاول الانتحار بإلقاء نفسه أمام المترو لعجز مليون جنيه بعهدته    http://t.co/17SJpac1KI ,Neutre
فى يوم. هنعود دا بنا وعود وف غيابو اكيد لسة الامل موجود ,Positive
@Fadyxplod ما عربى بيطلع عنيهم بردو :\ ,Negative
اضحك والضحكة تبقى ضحكيتين واتنين ف اتنين فى اتنين ,Positive
@KHIRY97 هههههههههههههههههههههه صح والله ,Positive
@Ahmed_abualy وانت بالف خير  ميرسى يا احمد ,Positive
#StaracArabia واحلي تحيه لاولاد بلدي اجمد ناس المصريين وصحابهم اللبنانين طبعا حد هيسال وكنوزه  مقلتش كنزه لان حسبتها كمصريه لانها بنتنا كمان ,Positive
ال كان بيبعتلك ويسال عليك  بعد فترة لما يشوف رسالتك وميردش عليك معناه ان الشخص ده معرفه وسخه من الاول ,Negative
@hussein_kabalo بس يا زملكاوي يا عرص ,Negative
#MinaAtta  فانز مينا ليه كل مسابقه فيها تصويت نايمين فيها صوتوا لمينا هنا بقا http://t.co/cxUrwACacI ,Negative
رنوشتي ايه رايك ف صورتك مع فكتور نفس صور الحفله بس مش عارفه انتي بتبقي زعلانه كده @ranasamaha9t http://t.co/IDNSyM8lYF ,Negative
تشكيل الأهلى : مسعد عوض شريف عبدالفضيل سعد شريف حازم لؤى وائل غالى رزق السعيد سليمان تريزجيه متعب ,Neutre
لو كل واحد يخليه فحالة بس! ,Negative
عامة الطريق كمان كان واقف واقفه طين و لسه داخل زايد اهو..يوم لاتيف ,Negative
جاريدو بيهرج والله ,Negative
أيمن يونس ده رغاي فشخ وحورتجي ,Negative
باعو قصر البارون ب6مليون جنيه  وده تمن حته  ارض في اوسخ حته في مصر  قالك عصر مبارك 30سنه سبب الخراب اخرص ياعرص ,Negative
حفل نانسي غدا #مصر فى جاردن سيتي فندق InterContinental Cairo Semiramis ... @NancyAjram https://t.co/LYYmKCj62a http://t.co/BJN46WPQ6d ,Neutre
فورد توورس من #بوابة_المصدر شاهد الاعلان بالكامل من هنا http://t.co/ClLZBNGS7r   2 http://t.co/qxhE9c9Pcv ,Neutre
انصرنا انصرنا يارب انصرنااااا ,Positive
بنكدب لما نتكلم عشان عارفين لو اتكلمنا جد هنفترق بعدين ,Negative
دماغي اللي شغالة 24 ساعة ,Neutre
@Hebah20Hh @horra1234  لا ده عشان عيونك حلوه فشافت الصور جميله ,Positive
و السلام عليك ورحمة الله وبركاتة  وجووووووووول للاتحاد =D ,Positive
استر يارب من أولها بركاتك يا ابن الفقريه . ,Negative
ما تسترجل يا ابن بت المرة الخول انت وهو ,Negative
مبقتش بعترف بكلمه انا اسف ديه ,Negative
الكلاكس  آلة تنبيه ??لكن فى مصر?? آلة ازعاج  ياريت ينزع من السيارات ولو لمدة ستة أشهر  لان عدم وجوده بالسيارة يجبر قائدها على السير بادب ,Negative
ياارب يا عالي انصر #الاهلي الغالي ,Positive
حبيبى انا لك وبين يديك  إدخلنى بين ضلوعك ضمنى بقوة اعتصر  ضلوعى ونبضى   يحضن نبضك ,Positive
يا غالي متطلعش دين أبونا ,Negative
يا قبلتي في صلاتي إذا وقفتُ أصلي ? ,Positive
2-1من الرجاء 0-0من الاسيوطي 0-0من الإسماعيلي 0-0من وادي دجلة ودلوقتي 1-0من الاتحاد.. الأهلي مش فوق الجميع الأهلي فوق بتاع أندية الدوري ,Negative
@MahmoudSamyo والله وانا لة فاكر ماتش الكأس مع الرجاء اللى كسبانه بالعافيه قولت دة فاشل ,Negative
أقسم بالله نادي ابن وسخه كل ما يبقوا خسرانين ولا متعادلين الفرقه كلها تنط ف ال18 علشان تاخد ضربة جزاء حاجة قرف ,Negative
العب يا اخضر ,Positive
التصوير و الاخراج في الماتش بتاع الاهلي زفت اوي ,Negative
انا استحمل أي حاجه بس حسام حسن ميكسبش الأهلي ,Negative
يا ولاد المحظوظه كوره زي دي تتلعب بالشكل ده وتيجي فى العارضه كسم الحظ وتترد بكوره زي دي وتطلع بره فى حظ فى الدنيا كدا ؟ ,Negative
@nour_el_din_ حاجة وسخه.. هارميه فعلا لاني زهقت!! ,Negative
عائله ناظم بيك http://t.co/4zijiZ4jLv ,Neutre
عععععههههههههههه التاني ل الاتحاد ههههههههههههههه هههههههههههههههه ,Positive
ايه المعلق إبن الكلاب ده ؟! ,Negative
@NadaAhmed10022 @AhmedSamy012 توء توء ,Neutre
@lolaelamrawy عته والله ,Negative
بدات الحن النشيد ,Neutre
احاااااا .. شريف حازم جاله شد .. قام حاسبله فاول ,Negative
هذه هي بعض الثوابت التي يجدر بِنَا التعلق بها في زمن الفتن والمحن والتقلبات، فهي من قول الله، وهي من وعد الله، ولا يخلف الله الميعاد. ,Neutre
بكره الأتحاد بكرهووووووو ,Negative
لو مشينا بمدأ ربنا بيوقع الناس اللى شبه بعض أو بيكملوا بعض ، مش هلاقى حاجه من دول تتحط جنبى غير شبهى وهنطلع عين بعض ، ففاكس ما تعملش كدا ,Neutre
لا أُريد المُستَحيل فقط اريدكِ انتِى ثُم قَلبك ثٌم حُضنك وكفى http://t.co/9d9I0X8XcU ,Positive
@Ladynanooos @Hazem__Azim @eelsehabi الحمدلله الذى كشف عن مصر الغمة وأنقذها منذ هذه العصابات ,Positive
@nanaok1234 @mona123m98 لا موجود يا شقيقتى ,Neutre
عامهً خسر تريزيجيه هجومياً وكمان كفةئته دفاعياً قليله ,Negative
انا سـآكـنة ف ألآسكًـآ :/ ,Negative
مَا كَانَ قَلْبِى فِي مَـدِيحِكَ يَشْتَفِي  أَوْ يَكْتَـفِى بِفَصَاحَةِ البُلَغَـاءِ ,Positive
ليه يا عم جاريدوا حتشمت فينا ولاد ال**** البوابين ,Negative
كان ليها أسبابها .. كان ليا أسبابى كان للقدر أسباب كان نفسى أكمل آه كان نفسها جايز .. و أهو كل واحد ساب ,Negative
بيكفي تلعب بأعصابي. ,Negative
@nanaok1234 @mona123m98 روحى الهى اشوفك داكتورة قد الدنيا زى ما بترفعى من روحى المعنوية قادر يا كريم هههههههههههههههه ,Positive
حتي الاهلي خسر مفيش فايدة ,Negative
اعشق الجنس ,Positive
#مش_هنكتب_اسامينا_وهنفولو_بعضينا ان الصراع الضمنى بين إشكاليات التواجد الحسى ف? بد من اعطاء الفولو http://t.co/BrwS1b0ZY8 ,Neutre
